Analyzing './from_snowman/other-030_hello/ia32_pe/subject.exe' as a x86 32 PECOFF binary file.

Decompiling 9/35: 0x00401648
Decompiling 10/35: 0x0040172C
Decompiling 11/35: 0x00401974
Decompiling 12/35: 0x00401998
Decompiling 13/35: 0x00401B04
Decompiling 14/35: 0x00401B8C
Decompiling 15/35: 0x00401B94
Decompiling 16/35: 0x00401B9C
Decompiling 17/35: 0x00401BA4
Decompiling 18/35: 0x00401BAC
Decompiling 19/35: 0x00401BBC
Decompiling 20/35: 0x00401BC4
Decompiling 21/35: 0x00401BCC
Decompiling 22/35: 0x00401BD4
Decompiling 23/35: 0x00401BDC
Decompiling 24/35: 0x00401BE4
Decompiling 25/35: 0x00401BEC
Decompiling 26/35: 0x00401BF4
Decompiling 27/35: 0x00401BFC
Decompiling 28/35: 0x00401C04
Decompiling 29/35: 0x00401C0C
Decompiling 30/35: 0x00401C14
Decompiling 31/35: 0x00401C1C
Decompiling 32/35: 0x00401C24
Decompiling 33/35: 0x00401C2C
Decompiling 34/35: 0x00401C34
Decompiling 35/35: 0x00401C3C
Decompiling 35/35: 0x00401C3C

