Analyzing './from_pouet.net/with_source_383/ia32_elf/subject.exe' as a x86 32 ELF binary file.

0 Procs, 0 Labels, 0 Branches, 0 / 0 kB covered
Decompiling 19/45: 0x0804881C
Decompiling 20/45: 0x0804882C
Decompiling 21/45: 0x0804883C
Decompiling 22/45: 0x0804884C
Decompiling 23/45: 0x0804885C
Decompiling 24/45: 0x0804886C
Decompiling 25/45: 0x0804887C
Decompiling 26/45: 0x0804888C
Decompiling 27/45: 0x0804889C
Decompiling 28/45: 0x080488AC
Decompiling 29/45: 0x080488CC
Decompiling 30/45: 0x08048903
Decompiling 31/45: 0x080489C3
Decompiling 32/45: 0x08048AA8
Decompiling 33/45: 0x08048B68
Decompiling 34/45: 0x08048BE1
Decompiling 35/45: 0x08048C24
Decompiling 36/45: 0x08048C67
Decompiling 37/45: 0x08048EB5
Decompiling 38/45: 0x080490D5
Decompiling 39/45: 0x080492D1
Decompiling 40/45: 0x08049330
Decompiling 41/45: 0x08049363
Decompiling 42/45: 0x0804937F
Decompiling 43/45: 0x08049394
Decompiling 44/45: 0x08049444
Decompiling 45/45: 0x0804993D
Decompiling 45/45: 0x0804993D

