=== Using options:--aggressive-branch-removal
0804A2DC: warning: Unable to resolve imported reference lame_set_decode_on_the_fly.
0804A5EC: warning: Unable to resolve imported reference lame_set_findReplayGain.
0804A5EC: warning: Unable to resolve imported reference lame_set_findReplayGain.
0804A2DC: warning: Unable to resolve imported reference lame_set_decode_on_the_fly.
0804A2CC: warning: Unable to resolve imported reference id3tag_set_comment.
0804A59C: warning: Unable to resolve imported reference id3tag_set_title.
0804A6CC: warning: Unable to resolve imported reference id3tag_set_year.
0804A9FC: warning: Unable to resolve imported reference id3tag_set_fieldvalue.
0804A82C: warning: Unable to resolve imported reference id3tag_set_track.
0804A6DC: warning: Unable to resolve imported reference id3tag_set_album.
0804A86C: warning: Unable to resolve imported reference id3tag_set_genre.
0804A61C: warning: Unable to resolve imported reference id3tag_set_artist.
0804A0EC: warning: Unable to resolve imported reference id3tag_set_albumart.
0804A7BC: warning: Unable to resolve imported reference id3tag_add_v2.
0804A0CC: warning: Unable to resolve imported reference id3tag_v1_only.
0804A0DC: warning: Unable to resolve imported reference id3tag_v2_only.
0804AA8C: warning: Unable to resolve imported reference id3tag_space_v1.
0804A78C: warning: Unable to resolve imported reference id3tag_pad_v2.
0804A80C: warning: Unable to resolve imported reference id3tag_genre_list.
0804A71C: warning: Unable to resolve imported reference id3tag_set_pad.
0804A60C: warning: Unable to resolve imported reference atof.
0804A99C: warning: Unable to resolve imported reference lame_set_lowpassfreq.
0804A60C: warning: Unable to resolve imported reference atof.
0804A60C: warning: Unable to resolve imported reference atof.
0804A63C: warning: Unable to resolve imported reference lame_set_highpassfreq.
0804AA5C: warning: Unable to resolve imported reference lame_set_lowpasswidth.
0804A63C: warning: Unable to resolve imported reference lame_set_highpassfreq.
0804A60C: warning: Unable to resolve imported reference atof.
0804A9DC: warning: Unable to resolve imported reference lame_set_highpasswidth.
0804A99C: warning: Unable to resolve imported reference lame_set_lowpassfreq.
0804A60C: warning: Unable to resolve imported reference atof.
0804A33C: warning: Unable to resolve imported reference lame_set_useTemporal.
0804A60C: warning: Unable to resolve imported reference atof.
0804A85C: warning: Unable to resolve imported reference lame_set_interChRatio.
0804A35C: warning: Unable to resolve imported reference lame_set_compression_ratio.
0804A33C: warning: Unable to resolve imported reference lame_set_useTemporal.
0804A81C: warning: Unable to resolve imported reference lame_get_exp_nspsytune.
0804A46C: warning: Unable to resolve imported reference lame_set_exp_nspsytune.
0804A60C: warning: Unable to resolve imported reference atof.
0804A50C: warning: Unable to resolve imported reference lame_set_msfix.
0804A60C: warning: Unable to resolve imported reference atof.
0804A60C: warning: Unable to resolve imported reference atof.
0804A60C: warning: Unable to resolve imported reference atof.
0804A81C: warning: Unable to resolve imported reference lame_get_exp_nspsytune.
0804A46C: warning: Unable to resolve imported reference lame_set_exp_nspsytune.
