=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
00000001400B12EE: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400B5836: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B5836: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014007E22B: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400C10C3: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C10D9: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C10EF: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C1105: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C111B: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C1131: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C1147: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C115D: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C1173: warning: Unable to resolve imported reference SHLWAPI.dll!StrChrW.
00000001400C1256: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400C1264: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400C12AA: warning: Unable to resolve imported reference SHLWAPI.dll!PathFindExtensionW.
00000001400C12CB: warning: Unable to resolve imported reference SHLWAPI.dll!PathFindExtensionW.
00000001400BDDF0: error: Argument size mismatch between word32 and int64.
00000001400B63C6: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B63C6: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B63F5: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
000000014007EB4E: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400BE0C2: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_727.
00000001400BE0C2: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_727.
00000001400BE139: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
000000014007415D: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400972E8: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
0000000140097302: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400947E1: warning: Unable to resolve imported reference USER32.dll!GetClassLongPtrW.
0000000140094805: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
00000001400CBF7D: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400CBFAB: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400B8060: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
0000000140082000: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400CA9E4: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
00000001400CD6CF: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
00000001400B00FD: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B00FD: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B0109: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
00000001400B0109: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
