=== Using options:--aggressive-branch-removal
080598B8: warning: Unable to resolve imported reference gmtime.
080598D8: warning: Unable to resolve imported reference memchr.
08058E68: warning: Unable to resolve imported reference __xstat64.
080597E8: warning: Unable to resolve imported reference fork.
080592C8: warning: Unable to resolve imported reference dup2.
080592C8: warning: Unable to resolve imported reference dup2.
08059898: warning: Unable to resolve imported reference getrlimit64.
08059018: warning: Unable to resolve imported reference execl.
08059818: warning: Unable to resolve imported reference __fxstat64.
08058E68: warning: Unable to resolve imported reference __xstat64.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
08059578: warning: Unable to resolve imported reference Gpm_GetEvent.
08059078: warning: Unable to resolve imported reference uname.
08058C78: warning: Unable to resolve imported reference popen.
08059AE8: warning: Unable to resolve imported reference pclose.
08059AE8: warning: Unable to resolve imported reference pclose.
08059408: warning: Unable to resolve imported reference alarm.
080BFA8E: warning: Unable to determine the upper bound of an indirect call or jump; there may be more than 2 entries.
080597E8: warning: Unable to resolve imported reference fork.
080599A8: warning: Unable to resolve imported reference kill.
08059408: warning: Unable to resolve imported reference alarm.
08059498: warning: Unable to resolve imported reference waitpid.
08058C68: warning: Unable to resolve imported reference gnutls_global_init.
08059418: warning: Unable to resolve imported reference gnutls_anon_allocate_client_credentials.
08058EE8: warning: Unable to resolve imported reference gnutls_certificate_allocate_credentials.
08058E28: warning: Unable to resolve imported reference gnutls_certificate_set_x509_trust_file.
08058F48: warning: Unable to resolve imported reference gnutls_certificate_set_verify_flags.
08059AD8: warning: Unable to resolve imported reference gnutls_strerror.
08059418: warning: Unable to resolve imported reference gnutls_anon_allocate_client_credentials.
08059AD8: warning: Unable to resolve imported reference gnutls_strerror.
08059AD8: warning: Unable to resolve imported reference gnutls_strerror.
08059608: warning: Unable to resolve imported reference gnutls_certificate_free_credentials.
08059128: warning: Unable to resolve imported reference gnutls_anon_free_client_credentials.
08059988: warning: Unable to resolve imported reference gnutls_global_deinit.
08058DD8: warning: Unable to resolve imported reference gnutls_handshake.
08059568: warning: Unable to resolve imported reference gnutls_certificate_verify_peers.
080593A8: warning: Unable to resolve imported reference gnutls_protocol_set_priority.
08058DC8: warning: Unable to resolve imported reference gnutls_record_send.
08058D68: warning: Unable to resolve imported reference gnutls_record_recv.
08059978: warning: Unable to resolve imported reference getsockopt.
080595A8: warning: Unable to resolve imported reference select.
0806DDF0: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08076065: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08076091: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
080594F8: warning: Unable to resolve imported reference chdir.
080595A8: warning: Unable to resolve imported reference select.
08059308: warning: Unable to resolve imported reference umask.
08058F68: warning: Unable to resolve imported reference listen.
08059308: warning: Unable to resolve imported reference umask.
08059308: warning: Unable to resolve imported reference umask.
08058E68: warning: Unable to resolve imported reference __xstat64.
08059768: warning: Unable to resolve imported reference towlower.
080596D8: warning: Unable to resolve imported reference strcasestr.
08059528: warning: Unable to resolve imported reference ctime.
08059108: warning: Unable to resolve imported reference inflateInit2_.
08059188: warning: Unable to resolve imported reference inflate.
08058D98: warning: Unable to resolve imported reference inflateEnd.
08058D98: warning: Unable to resolve imported reference inflateEnd.
08058D98: warning: Unable to resolve imported reference inflateEnd.
08059108: warning: Unable to resolve imported reference inflateInit2_.
08059188: warning: Unable to resolve imported reference inflate.
08058D98: warning: Unable to resolve imported reference inflateEnd.
08059108: warning: Unable to resolve imported reference inflateInit2_.
08058D98: warning: Unable to resolve imported reference inflateEnd.
08059A08: warning: Unable to resolve imported reference BZ2_bzDecompressInit.
08059468: warning: Unable to resolve imported reference BZ2_bzDecompress.
08059618: warning: Unable to resolve imported reference BZ2_bzDecompressEnd.
08059618: warning: Unable to resolve imported reference BZ2_bzDecompressEnd.
08059618: warning: Unable to resolve imported reference BZ2_bzDecompressEnd.
08059A08: warning: Unable to resolve imported reference BZ2_bzDecompressInit.
08059468: warning: Unable to resolve imported reference BZ2_bzDecompress.
08059618: warning: Unable to resolve imported reference BZ2_bzDecompressEnd.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
08058D88: warning: Unable to resolve imported reference bsearch.
08058D88: warning: Unable to resolve imported reference bsearch.
08058D88: warning: Unable to resolve imported reference bsearch.
08058D88: warning: Unable to resolve imported reference bsearch.
080A684D: warning: The format specifier '%*' passed to *printf is not known.
080A688A: warning: The format specifier '%*' passed to *printf is not known.
080A68C6: warning: The format specifier '%*' passed to *printf is not known.
080A67D4: warning: The format specifier '%*' passed to *printf is not known.
080A6792: warning: The format specifier '%*' passed to *printf is not known.
080A6752: warning: The format specifier '%*' passed to *printf is not known.
080A6712: warning: The format specifier '%*' passed to *printf is not known.
080A66D0: warning: The format specifier '%*' passed to *printf is not known.
080A66D0: warning: The format specifier '%*' passed to *printf is not known.
080A6682: warning: The format specifier '%*' passed to *printf is not known.
080A6642: warning: The format specifier '%*' passed to *printf is not known.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
08059118: warning: Unable to resolve imported reference __strcat_chk.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
08075A03: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08075923: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08075849: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08075766: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08075676: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08072088: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
080596D8: warning: Unable to resolve imported reference strcasestr.
080596D8: warning: Unable to resolve imported reference strcasestr.
080596D8: warning: Unable to resolve imported reference strcasestr.
0807160A: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08070F8E: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08070FB1: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
0806F1FF: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
0806E9C6: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
0806D924: warning: Unable to determine format string for call to '__printf_chk'.
0806DC17: warning: Unable to determine size of call or jump table; there may be more than 2 entries.
08058D78: warning: Unable to resolve imported reference XML_ParserCreate.
080597C8: warning: Unable to resolve imported reference XML_SetElementHandler.
08059A58: warning: Unable to resolve imported reference XML_SetCharacterDataHandler.
08059748: warning: Unable to resolve imported reference XML_ParserFree.
08059848: warning: Unable to resolve imported reference XML_Parse.
08058F88: warning: Unable to resolve imported reference XML_GetErrorCode.
08059648: warning: Unable to resolve imported reference XML_ErrorString.
080590D8: warning: Unable to resolve imported reference XML_GetCurrentColumnNumber.
080594D8: warning: Unable to resolve imported reference XML_GetCurrentLineNumber.
080596D8: warning: Unable to resolve imported reference strcasestr.
080596D8: warning: Unable to resolve imported reference strcasestr.
08059B28: warning: Unable to resolve imported reference tsearch.
08059B08: warning: Unable to resolve imported reference __vasprintf_chk.
08059AF8: warning: Unable to resolve imported reference backtrace_symbols_fd.
08059AE8: warning: Unable to resolve imported reference pclose.
08059AD8: warning: Unable to resolve imported reference gnutls_strerror.
08059AC8: warning: Unable to resolve imported reference rb_define_const.
08059AB8: warning: Unable to resolve imported reference gnutls_bye.
08059A98: warning: Unable to resolve imported reference setenv.
08059A68: warning: Unable to resolve imported reference gnutls_cipher_get.
08059A58: warning: Unable to resolve imported reference XML_SetCharacterDataHandler.
08059A38: warning: Unable to resolve imported reference gss_init_sec_context.
08059A08: warning: Unable to resolve imported reference BZ2_bzDecompressInit.
080599F8: warning: Unable to resolve imported reference getpeername.
080599E8: warning: Unable to resolve imported reference strcspn.
080599D8: warning: Unable to resolve imported reference tempnam.
080599C8: warning: Unable to resolve imported reference __memmove_chk.
080599A8: warning: Unable to resolve imported reference kill.
08059988: warning: Unable to resolve imported reference gnutls_global_deinit.
08059978: warning: Unable to resolve imported reference getsockopt.
08059958: warning: Unable to resolve imported reference Gpm_Open.
08059908: warning: Unable to resolve imported reference rb_funcall3.
080598D8: warning: Unable to resolve imported reference memchr.
080598B8: warning: Unable to resolve imported reference gmtime.
08059898: warning: Unable to resolve imported reference getrlimit64.
08059878: warning: Unable to resolve imported reference rb_intern.
08059858: warning: Unable to resolve imported reference setsockopt.
08059848: warning: Unable to resolve imported reference XML_Parse.
08059838: warning: Unable to resolve imported reference rb_str_new2.
08059828: warning: Unable to resolve imported reference gss_import_name.
08059818: warning: Unable to resolve imported reference __fxstat64.
08059808: warning: Unable to resolve imported reference gnutls_kx_get_name.
080597F8: warning: Unable to resolve imported reference gnutls_kx_get.
080597E8: warning: Unable to resolve imported reference fork.
080597D8: warning: Unable to resolve imported reference gnutls_priority_set_direct.
080597C8: warning: Unable to resolve imported reference XML_SetElementHandler.
080597A8: warning: Unable to resolve imported reference vasprintf.
08059798: warning: Unable to resolve imported reference sigfillset.
08059778: warning: Unable to resolve imported reference gnutls_certificate_type_get.
08059768: warning: Unable to resolve imported reference towlower.
08059748: warning: Unable to resolve imported reference XML_ParserFree.
08059728: warning: Unable to resolve imported reference backtrace.
080596E8: warning: Unable to resolve imported reference freeifaddrs.
080596D8: warning: Unable to resolve imported reference strcasestr.
080596C8: warning: Unable to resolve imported reference gss_delete_sec_context.
080596B8: warning: Unable to resolve imported reference rb_define_module_function.
080596A8: warning: Unable to resolve imported reference memrchr.
08059688: warning: Unable to resolve imported reference iconv_close.
08059678: warning: Unable to resolve imported reference Gpm_Close.
08059658: warning: Unable to resolve imported reference rb_obj_as_string.
08059648: warning: Unable to resolve imported reference XML_ErrorString.
08059618: warning: Unable to resolve imported reference BZ2_bzDecompressEnd.
08059608: warning: Unable to resolve imported reference gnutls_certificate_free_credentials.
080595A8: warning: Unable to resolve imported reference select.
08059598: warning: Unable to resolve imported reference gnutls_compression_get_name.
08059588: warning: Unable to resolve imported reference mkstemp64.
08059578: warning: Unable to resolve imported reference Gpm_GetEvent.
08059568: warning: Unable to resolve imported reference gnutls_certificate_verify_peers.
08059528: warning: Unable to resolve imported reference ctime.
08059518: warning: Unable to resolve imported reference ruby_script.
08059508: warning: Unable to resolve imported reference gnutls_mac_get_name.
080594F8: warning: Unable to resolve imported reference chdir.
080594E8: warning: Unable to resolve imported reference rb_inspect.
080594D8: warning: Unable to resolve imported reference XML_GetCurrentLineNumber.
080594C8: warning: Unable to resolve imported reference getegid.
08059498: warning: Unable to resolve imported reference waitpid.
08059478: warning: Unable to resolve imported reference getifaddrs.
08059468: warning: Unable to resolve imported reference BZ2_bzDecompress.
08059448: warning: Unable to resolve imported reference iconv.
08059428: warning: Unable to resolve imported reference rb_class_path.
08059418: warning: Unable to resolve imported reference gnutls_anon_allocate_client_credentials.
08059408: warning: Unable to resolve imported reference alarm.
080593F8: warning: Unable to resolve imported reference rb_load_protect.
080593E8: warning: Unable to resolve imported reference gnutls_deinit.
080593A8: warning: Unable to resolve imported reference gnutls_protocol_set_priority.
08059388: warning: Unable to resolve imported reference gnutls_kx_set_priority.
08059368: warning: Unable to resolve imported reference tfind.
08059358: warning: Unable to resolve imported reference readdir64.
08059348: warning: Unable to resolve imported reference fsync.
08059328: warning: Unable to resolve imported reference ftello64.
08059308: warning: Unable to resolve imported reference umask.
080592C8: warning: Unable to resolve imported reference dup2.
08059288: warning: Unable to resolve imported reference rb_define_module.
08059228: warning: Unable to resolve imported reference setpgid.
08059218: warning: Unable to resolve imported reference fgets_unlocked.
08059208: warning: Unable to resolve imported reference backtrace_symbols.
080591F8: warning: Unable to resolve imported reference __lxstat64.
080591D8: warning: Unable to resolve imported reference rb_define_singleton_method.
08059188: warning: Unable to resolve imported reference inflate.
08059168: warning: Unable to resolve imported reference gnutls_init.
08059148: warning: Unable to resolve imported reference gnutls_cipher_get_name.
08059138: warning: Unable to resolve imported reference gnutls_credentials_set.
08059128: warning: Unable to resolve imported reference gnutls_anon_free_client_credentials.
08059118: warning: Unable to resolve imported reference __strcat_chk.
08059108: warning: Unable to resolve imported reference inflateInit2_.
080590E8: warning: Unable to resolve imported reference gnutls_cipher_set_priority.
080590D8: warning: Unable to resolve imported reference XML_GetCurrentColumnNumber.
080590C8: warning: Unable to resolve imported reference idna_to_ascii_lz.
080590B8: warning: Unable to resolve imported reference rb_str_new.
080590A8: warning: Unable to resolve imported reference __vsnprintf_chk.
08059098: warning: Unable to resolve imported reference fseeko64.
08059088: warning: Unable to resolve imported reference tcgetattr.
08059078: warning: Unable to resolve imported reference uname.
08059018: warning: Unable to resolve imported reference execl.
08058FE8: warning: Unable to resolve imported reference ruby_init_loadpath.
