Analyzing './from_snowman/other-030_hello/x64_elf/subject.exe' as a x86_64 32 PECOFF binary file.

45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
Resolving indirect jumps...
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
Resolving constants and strings...
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
Discovering unreached functions...
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
Computing call tree...
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
Computing calling conventions...
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
Computing Calling Convention: 3/45  0x004015A8
Computing Calling Convention: 4/45  0x004015B0
Computing Calling Convention: 5/45  0x00401690
Computing Calling Convention: 6/45  0x004016A0
Computing Calling Convention: 10/45  0x00401DF0
Computing Calling Convention: 11/45  0x00401F60
Computing Calling Convention: 12/45  0x00402270
Computing Calling Convention: 13/45  0x004022A0
Computing Calling Convention: 14/45  0x004022F0
Computing Calling Convention: 16/45  0x004023D0
Computing Calling Convention: 17/45  0x00402400
Computing Calling Convention: 18/45  0x00402480
Computing Calling Convention: 19/45  0x00402500
Computing Calling Convention: 20/45  0x00402590
Computing Calling Convention: 21/45  0x00402660
Computing Calling Convention: 23/45  0x00402730
Computing Calling Convention: 24/45  0x00402900
Computing Calling Convention: 25/45  0x00402A90
Computing Calling Convention: 26/45  0x00402B30
Computing Calling Convention: 27/45  0x00402B88
Computing Calling Convention: 28/45  0x00402B90
Computing Calling Convention: 29/45  0x00402B98
Computing Calling Convention: 30/45  0x00402BA0
Computing Calling Convention: 31/45  0x00402BA8
Computing Calling Convention: 32/45  0x00402BB0
Computing Calling Convention: 33/45  0x00402BB8
Computing Calling Convention: 34/45  0x00402BD0
Computing Calling Convention: 35/45  0x00402BD8
Computing Calling Convention: 36/45  0x00402BE0
Computing Calling Convention: 37/45  0x00402BE8
Computing Calling Convention: 38/45  0x00402BF8
Computing Calling Convention: 39/45  0x00402C00
Computing Calling Convention: 40/45  0x00402C08
Computing Calling Convention: 41/45  0x00402C10
Computing Calling Convention: 42/45  0x00402C18
Computing Calling Convention: 43/45  0x00402C20
Computing Calling Convention: 44/45  0x00402C28
Computing Calling Convention: 45/45  0x00402C30
Computing Calling Convention: 3/7  0x004016B0
Computing Calling Convention: 4/7  0x00401920
Computing Calling Convention: 6/7  0x00402390
Computing Calling Convention: 7/7  0x00402710
Computing Calling Convention: 2/3  0x004014F0
Computing Calling Convention: xx/2  0x00401D80
Computing Calling Convention: xx/1  0x00401D80
Computing label cross-references...
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
File analysis complete.
45 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered

Decompiling 1/45: 0x00401180
Decompiling 2/45: 0x004014F0
Decompiling 3/45: 0x004015A8
Decompiling 4/45: 0x004015B0
Decompiling 5/45: 0x00401690
Decompiling 6/45: 0x004016A0
Decompiling 7/45: 0x004016B0
Decompiling 8/45: 0x00401920
Decompiling 9/45: 0x00401D80
Decompiling 10/45: 0x00401DF0
Decompiling 11/45: 0x00401F60
Decompiling 12/45: 0x00402270
Decompiling 13/45: 0x004022A0
Decompiling 14/45: 0x004022F0
Decompiling 15/45: 0x00402390
Decompiling 16/45: 0x004023D0
