=== Using options:--aggressive-branch-removal
0804911D: warning: Call target address 00000000 is invalid.
080536C2: warning: x86 instruction 'popfw' is not supported yet.
080537AC: warning: x86 instruction 'popfw' is not supported yet.
080538A5: warning: x86 instruction 'popfw' is not supported yet.
08053994: warning: x86 instruction 'popfw' is not supported yet.
08053A7D: warning: x86 instruction 'popfw' is not supported yet.
08053B67: warning: x86 instruction 'popfw' is not supported yet.
08053C60: warning: x86 instruction 'popfw' is not supported yet.
08053D4F: warning: x86 instruction 'popfw' is not supported yet.
08053E38: warning: x86 instruction 'popfw' is not supported yet.
08053F22: warning: x86 instruction 'popfw' is not supported yet.
0805401B: warning: x86 instruction 'popfw' is not supported yet.
0805410A: warning: x86 instruction 'popfw' is not supported yet.
080541F3: warning: x86 instruction 'popfw' is not supported yet.
080542DD: warning: x86 instruction 'popfw' is not supported yet.
080543D6: warning: x86 instruction 'popfw' is not supported yet.
080544C5: warning: x86 instruction 'popfw' is not supported yet.
080545AE: warning: x86 instruction 'popfw' is not supported yet.
08054698: warning: x86 instruction 'popfw' is not supported yet.
08054791: warning: x86 instruction 'popfw' is not supported yet.
08054880: warning: x86 instruction 'popfw' is not supported yet.
08054969: warning: x86 instruction 'popfw' is not supported yet.
08054A53: warning: x86 instruction 'popfw' is not supported yet.
08054B4C: warning: x86 instruction 'popfw' is not supported yet.
08054C3B: warning: x86 instruction 'popfw' is not supported yet.
08054D24: warning: x86 instruction 'popfw' is not supported yet.
08054E0E: warning: x86 instruction 'popfw' is not supported yet.
08054F07: warning: x86 instruction 'popfw' is not supported yet.
08054FF6: warning: x86 instruction 'popfw' is not supported yet.
080550DF: warning: x86 instruction 'popfw' is not supported yet.
080551C9: warning: x86 instruction 'popfw' is not supported yet.
080552C2: warning: x86 instruction 'popfw' is not supported yet.
080553B1: warning: x86 instruction 'popfw' is not supported yet.
0805549A: warning: x86 instruction 'popfw' is not supported yet.
08055584: warning: x86 instruction 'popfw' is not supported yet.
0805567D: warning: x86 instruction 'popfw' is not supported yet.
0805576C: warning: x86 instruction 'popfw' is not supported yet.
08055855: warning: x86 instruction 'popfw' is not supported yet.
0805593F: warning: x86 instruction 'popfw' is not supported yet.
08055A38: warning: x86 instruction 'popfw' is not supported yet.
08055B27: warning: x86 instruction 'popfw' is not supported yet.
08055C10: warning: x86 instruction 'popfw' is not supported yet.
08055CFA: warning: x86 instruction 'popfw' is not supported yet.
08055DF3: warning: x86 instruction 'popfw' is not supported yet.
08055EE2: warning: x86 instruction 'popfw' is not supported yet.
08055FCB: warning: x86 instruction 'popfw' is not supported yet.
080560B5: warning: x86 instruction 'popfw' is not supported yet.
080561AE: warning: x86 instruction 'popfw' is not supported yet.
0805629D: warning: x86 instruction 'popfw' is not supported yet.
08056386: warning: x86 instruction 'popfw' is not supported yet.
08056470: warning: x86 instruction 'popfw' is not supported yet.
08056569: warning: x86 instruction 'popfw' is not supported yet.
08056658: warning: x86 instruction 'popfw' is not supported yet.
08056741: warning: x86 instruction 'popfw' is not supported yet.
0805682B: warning: x86 instruction 'popfw' is not supported yet.
08056924: warning: x86 instruction 'popfw' is not supported yet.
08056A13: warning: x86 instruction 'popfw' is not supported yet.
08056AFC: warning: x86 instruction 'popfw' is not supported yet.
08056BE6: warning: x86 instruction 'popfw' is not supported yet.
080490D0: warning: Call target address 00000000 is invalid.
08059F0C: warning: Expected sizes of arrays to have been determined by now
08059F0C: warning: Expected sizes of arrays to have been determined by now
